000692,惠天热电,沈阳惠天热电股份有限公司,其他发电
000693,*ST华泽,成都华泽钴镍材料股份有限公司,其他稀有小金属
000695,滨海能源,天津滨海能源发展股份有限公司,其他发电
000697,炼石航空,炼石航空科技股份有限公司,稀有金属
000698,沈阳化工,沈阳化工股份有限公司,石油加工
000700,模塑科技,江南模塑科技股份有限公司,汽车零部件
000701,厦门信达,厦门信达股份有限公司,贸易
000702,正虹科技,湖南正虹科技发展股份有限公司,饲料
000703,恒逸石化,恒逸石化股份有限公司,涤纶
000705,浙江震元,浙江震元股份有限公司,医药商业
000707,*ST双环,湖北双环科技股份有限公司,纯碱
000708,大冶特钢,大冶特殊钢股份有限公司,特钢
000709,河钢股份,河钢股份有限公司,普钢
000710,贝瑞基因,成都市贝瑞和康基因技术股份有限公司,汽车零部件
000711,京蓝科技,京蓝科技股份有限公司,节水灌溉
000712,锦龙股份,广东锦龙发展股份有限公司,证券
000713,丰乐种业,合肥丰乐种业股份有限公司,种子
000715,中兴商业,中兴-沈阳商业大厦(集团)股份有限公司,百货
000716,黑芝麻,南方黑芝麻集团股份有限公司,植物蛋白饮料
000717,韶钢松山,广东韶钢松山股份有限公司,普钢
000718,苏宁环球,苏宁环球股份有限公司,房地产开发
000719,中原传媒,中原大地传媒股份有限公司,平面媒体
000720,*ST新能,山东新能泰山发电股份有限公司,火电
000721,西安饮食,西安饮食股份有限公司,餐饮
000722,湖南发展,湖南发展集团股份有限公司,水电
000723,美锦能源,山西美锦能源股份有限公司,焦炭
000725,京东方A,京东方科技集团股份有限公司,显示器件
000726,鲁泰A,鲁泰纺织股份有限公司,棉纺
000727,华东科技,南京华东电子信息科技股份有限公司,显示器件
000728,国元证券,国元证券股份有限公司,证券
000729,燕京啤酒,北京燕京啤酒股份有限公司,啤酒
000731,四川美丰,四川美丰化工股份有限公司,氮肥
000732,泰禾集团,泰禾集团股份有限公司,房地产开发
000733,振华科技,中国振华(集团)科技股份有限公司,电子元件
000735,罗牛山,罗牛山股份有限公司,畜牧养殖
000736,中交地产,中交地产股份有限公司,房地产开发
000737,*ST南风,南风化工集团股份有限公司,日用化学品
000738,航发控制,中国航发动力控制股份有限公司,航空装备
000739,普洛药业,普洛药业股份有限公司,化学原料药
000750,国海证券,国海证券股份有限公司,证券
000751,锌业股份,葫芦岛锌业股份有限公司,铅锌
000752,西藏发展,西藏银河科技发展股份有限公司,啤酒
000753,漳州发展,福建漳州发展股份有限公司,汽车销售
000755,山西路桥,山西路桥股份有限公司,其他化学原料
000756,新华制药,山东新华制药股份有限公司,化学原料药
000757,浩物股份,四川浩物机电股份有限公司,汽车零部件
000758,中色股份,中国有色金属建设股份有限公司,铅锌
000759,中百集团,中百控股集团股份有限公司,超市
000760,斯太尔,斯太尔动力股份有限公司,汽车零部件
000761,本钢板材,本钢板材股份有限公司,普钢
000762,西藏矿业,西藏矿业发展股份有限公司,其他稀有小金属
000766,通化金马,通化金马药业集团股份有限公司,中药生产
000767,漳泽电力,山西漳泽电力股份有限公司,火电
000768,中航飞机,中航飞机股份有限公司,航空装备
000776,广发证券,广发证券股份有限公司,证券
000777,中核科技,中核苏阀科技实业股份有限公司,基础件
000778,新兴铸管,新兴铸管股份有限公司,普钢
000779,三毛派神,兰州三毛实业股份有限公司,毛纺
000780,平庄能源,内蒙古平庄能源股份有限公司,煤炭开采洗选
000782,美达股份,广东新会美达锦纶股份有限公司,锦纶
000783,长江证券,长江证券股份有限公司,证券
000785,武汉中商,武汉中商集团股份有限公司,百货
000786,北新建材,北新集团建材股份有限公司,其他建材
000788,北大医药,北大医药股份有限公司,生物医药
000789,万年青,江西万年青水泥股份有限公司,水泥
000790,泰合健康,成都泰合健康科技集团股份有限公司,中药生产
000791,甘肃电投,甘肃电投能源发展股份有限公司,水电
000792,盐湖股份,青海盐湖工业股份有限公司,钾肥
000793,华闻传媒,华闻传媒投资集团股份有限公司,平面媒体
000795,英洛华,英洛华科技股份有限公司,磁性材料
000796,凯撒旅游,海航凯撒旅游集团股份有限公司,旅游服务
000797,中国武夷,中国武夷实业股份有限公司,房地产开发
000798,中水渔业,中水集团远洋股份有限公司,海洋渔业
