HK0253,顺豪控股,顺豪控股有限公司,酒店
HK0254,国家联合资源,国家联合资源控股有限公司,其他金属矿物
HK0255,龙记集团,龙记(百慕达)集团有限公司,电子元器件
HK0256,冠城钟表珠宝,冠城钟表珠宝集团有限公司,钟表
HK0257,中国光大国际,中国光大国际有限公司,新能源
HK0258,汤臣集团,汤臣集团有限公司,房地产
HK0259,亿都(国际控股),亿都(国际控股)有限公司,计算机设备
HK0260,幸福控股,幸福控股(香港)有限公司,油气开采
HK0261,中建置地,中建置地集团有限公司,通信设备
HK0262,迪臣发展国际,迪臣发展国际集团有限公司,房屋建筑
HK0263,高富集团控股,高富集团控股有限公司,证券
HK0264,中玺国际,中玺国际控股有限公司,服饰配件
HK0265,东胜旅游,东胜旅游集团有限公司,旅游服务
HK0266,天德地产,天德地产有限公司,地产投资
HK0267,中信股份,中国中信股份有限公司,综合
HK0268,金蝶国际,金蝶国际软件集团有限公司,软件开发
HK0269,中国资源交通,中国资源交通集团有限公司,公路运输
HK0270,粤海投资,粤海投资有限公司,水务
HK0271,亚证地产,亚证地产有限公司,地产投资
HK0272,瑞安房地产,瑞安房地产有限公司,房地产
HK0273,茂宸集团,茂宸集团控股有限公司,资产管理
HK0274,中富资源,中富资源有限公司,贵金属
HK0275,凯华集团,凯华集团有限公司,房地产
HK0276,蒙古能源,蒙古能源有限公司,煤炭
HK0277,太兴置业,太兴置业有限公司,地产投资
HK0278,华厦置业,华厦置业有限公司,地产投资
HK0279,民众金融科技,民众金融科技控股有限公司,证券
HK0280,景福集团,景福集团有限公司,珠宝首饰
HK0281,川河集团,川河集团有限公司,房地产
HK0282,壹传媒,壹传媒有限公司,出版
HK0283,高银地产,高银地产控股有限公司,--
HK0285,比亚迪电子,比亚迪电子(国际)有限公司,通信设备
HK0286,同佳健康,同佳国际健康产业集团有限公司,健康管理
HK0287,永发置业,永发置业有限公司,地产投资
HK0288,万洲国际,万洲国际有限公司,肉制品
HK0289,WING ON CO,永安国际有限公司,百货商城
HK0290,中国富强金融,中国富强金融集团有限公司,证券
HK0291,华润啤酒,华润啤酒(控股)有限公司,啤酒
HK0292,泛海酒店,泛海酒店集团有限公司,酒店
