index_col,stock_code,shortname,fullname,address,income,profit,number,comedate,book,report,industry,bussiness
1186,HK1396,毅德国际,毅德国际控股有限公司,开曼群岛,--,--,1505,2013-10-31,--,,房地产,在中国开发及运营大型商贸物流中心。
1187,HK1397,碧瑶绿色集团,碧瑶绿色集团有限公司,开曼群岛,--,--,8253,2014-05-22,--,,其他服务,提供环保及相关服务。
1188,HK1398,工商银行,中国工商银行股份有限公司,中国北京市,--,--,454073,2006-10-27,--,,银行,从事公司和个人金融业务、资金业务、投资银行业务，并提供资产管理、信托、金融租赁及其他金融服务。
1189,HK1399,飞毛腿,飞毛腿集团有限公司,开曼群岛,--,--,3639,2006-12-21,--,,新能源,生产及销售供手机、平板电脑及数码类电子产品所用之锂离子电池模组及有关配件；生产及销售锂离子电芯。
1190,HK1400,满地科技股份,宏太控股有限公司,开曼群岛,--,--,424,2014-04-25,--,,纺织品,在中国从事面料及纱线的设计、制造及销售。
1191,HK1415,高伟电子,高伟电子控股有限公司,开曼群岛,--,--,3825,2015-03-31,--,,电子元器件,制造及销售相机模组及光学部件。
1192,HK1417,浦江中国,浦江中国控股有限公司,--,--,--,1301,2017-12-11,--,,--,为中国不同种类的物业提供多种物业管理服务及增值服务。
1193,HK1418,盛诺集团,盛诺集团有限公司,开曼群岛,--,--,3533,2014-07-10,--,,家具家居,制造及销售健康及家居产品及聚氨酯泡沫包括优质慢回弹枕头、床垫及床褥。
1194,HK1419,盈健医疗,盈健医疗集团有限公司,开曼群岛,--,--,423,2016-04-01,--,,医院,香港私营综合医疗服务营运商，拥有涵盖全科医疗服务、专科医疗服务及牙科服务的综合门诊能力。
1195,HK1420,川控股,川控股有限公司,开曼群岛,--,--,429,2016-06-08,--,,房屋建筑,提供土方工程及相关服务以及一般建筑工程。
1196,HK1421,工盖有限公司,工盖有限公司,开曼群岛,--,--,161,2013-12-30,--,,建筑工程,提供电力工程服务；及建造、营运及销售太阳能电站项目。
1197,HK1428,耀才证券金融,耀才证券金融集团有限公司,开曼群岛,--,--,302,2010-08-25,--,,证券,提供金融服务，包括证券经纪、展融资、商品及期货经纪以及现货金交易。
1198,HK1430,苏创燃气,苏创燃气股份有限公司,开曼群岛,--,--,293,2015-03-11,--,,燃气,于中国内地配送及销售管道天然气、提供天然气输送、作为建设及安装燃气管道的承包商。
1199,HK1431,原生态牧业,原生态牧业有限公司,百慕达,--,--,1394,2013-11-26,--,,乳制品,于中国生产及销售原料奶。
1200,HK1432,中国圣牧,中国圣牧有机奶业有限公司,开曼群岛,--,--,3609,2014-07-15,--,,乳制品,在中国生产及分销原料奶及乳制品。
序号,股票代码,股票简称,公司名称,注册地址,主营业务收入(201904),净利润(201904),员工人数,上市日期,招股书,公司财报,行业分类,主营业务
1201,HK1439,移动互联(中国),移动互联(中国)控股有限公司,开曼群岛,--,--,698,2014-01-13,--,,包装印刷,制造及销售包装材料，以及开发、分销及经营手游产品。
1202,HK1443,富临集团控股,富临集团控股有限公司,开曼群岛,--,--,4750,2014-11-13,--,,餐饮,于香港及中国内地从事餐馆营运，提供节日食品，生产、销售及分销与餐馆营运有关的食品。
1203,HK1446,鸿福堂,鸿福堂集团控股有限公司,开曼群岛,--,--,1428,2014-07-04,--,,饮料,于香港及中国其他地区从事零售、批发及分销樽装饮品、其他草本产品、汤及小食。
1204,HK1447,新福港,新福港建设集团有限公司,百慕达,--,--,1886,2015-12-10,--,,房屋建筑,在香港从事建筑及保养项目以及在澳门从事建筑项目；在香港提供清洁服务及保安管理服务。
1205,HK1448,福寿园,福寿园国际集团有限公司,开曼群岛,--,--,1815,2013-12-19,--,,其他服务,提供墓地服务、殡仪服务及配套服务。
1206,HK1450,世纪睿科,世纪睿科控股有限公司,开曼群岛,--,--,421,2014-07-07,--,,信息化服务,在中国从事全媒体行业，提供应用解决方案、赛事及活动业务、系统运维服务及自主开发产品销售。
1207,HK1451,万成集团股份,--,--,--,--,--,2018-06-01,--,,--,--
1208,HK1452,迪诺斯环保,迪诺斯环保科技控股有限公司,开曼群岛,--,--,104,2015-11-12,--,,环保工程,于中国从事设计、开发、生产和销售板式脱硝催化剂。
1209,HK1456,国联证券,国联证券股份有限公司,中国江苏省,--,--,1517,2015-07-06,--,,证券,"证券经纪业务、证券自营业务(证券投资业务)、资产管理业务、信用交易业务、新三板业务等。同时,公司通过控股子公司华英证券和国联通宝分别从事投资银行业务(不含新三板业务)和直接投资业务。"
1210,HK1458,周黑鸭,周黑鸭国际控股有限公司,开曼群岛,--,--,4283,2016-11-11,--,,休闲食品,生产、营销及零售休闲卤制品。
1211,HK1459,巨匠建设,巨匠建设集团股份有限公司,中国浙江省,--,--,704,2016-01-12,--,,房屋建筑,建筑工程承包；设计、勘察及咨询等。
1212,HK1460,扬科集团,扬科集团有限公司,开曼群岛,--,--,314,2015-03-18,--,,信息化服务,提供资讯科技应用及解决方案开发服务；借调服务；维护及支援服务；及资讯科技基础设施解决方案。
1213,HK1461,鲁证期货,鲁证期货股份有限公司,中国山东省,--,--,448,2015-07-07,--,,证券,期货经纪、期货资产管理、商品交易及风险管理。
1214,HK1462,金诚控股,金诚控股有限公司,开曼群岛,--,--,55,2014-10-16,--,,房屋建筑,于香港提供屋宇设备工程服务。
1215,HK1466,钱唐控股,钱唐控股有限公司,开曼群岛,--,--,384,2014-10-17,--,,珠宝首饰,采购、加工、设计、生产及批发分销珍珠及珠宝产品。
1216,HK1468,英裘控股,英裘(控股)有限公司,开曼群岛,--,--,70,2012-08-24,--,,纺织品,从事毛皮贸易、在丹麦养殖水貂及毛皮经纪。
1217,HK1469,结好金融,结好金融集团有限公司,开曼群岛,--,--,56,2016-04-08,--,,证券,提供金融服务，包括证券买卖及经纪服务、期货及期权经纪服务、包销及配售、证券保证金融资及企业融资服务。
1218,HK1470,富一国际控股,富一国际控股有限公司,开曼群岛,--,--,99,2015-05-12,--,,钟表,于香港零售及批发腕表。
1219,HK1475,日清食品,日清食品有限公司,--,--,--,3299,2017-12-11,--,,--,生产及销售即食面、冷冻食品及其他食品。
